	Potential	Total_energy	Temperature	Pressure
Media	-359173.363299467	-235563.05046635575	309.9402388560959	11.609239690206529
Massimo	-355886.65625	-230544.703125	316.509216	604.57782
Minimo	-361968.8125	-240508.1875	302.464905	-596.686768
Deviazione_standard	932.5808452763157	1432.8057196455404	1.8713340707380488	190.38276537991123
