	Potential	Total_energy	Temperature	Pressure
Media	-358733.3763532645	-235097.6084381246	310.00406520186544	1.3933573031312454
Massimo	-355633.03125	-230367.125	316.423981	677.975281
Minimo	-362062.28125	-240108.125	303.545532	-593.034363
Deviazione_standard	1026.6992173426684	1524.0997473519749	1.8959766070706041	192.69695555912148
